,text,intent,domain,dataset
0,I am still waiting on my card?,card_arrival,banking,train
1,What can I do if my card still hasn't arrived after 2 weeks?,card_arrival,banking,train
2,I have been waiting over a week. Is the card still coming?,card_arrival,banking,train
3,Can I track my card while it is in the process of delivery?,card_arrival,banking,train
4,"How do I know if I will get my card, or if it is lost?",card_arrival,banking,train
5,When did you send me my new card?,card_arrival,banking,train
6,Do you have info about the card on delivery?,card_arrival,banking,train
7,What do I do if I still have not received my new card?,card_arrival,banking,train
9,I ordered my card but it still isn't here,card_arrival,banking,train
10,Why has my new card still not come?,card_arrival,banking,train
11,"I still haven't received my card after two weeks, is it lost?",card_arrival,banking,train
12,Can you track my card for me?,card_arrival,banking,train
13,Is there a way to track the delivery of my card?,card_arrival,banking,train
14,It's been a week since I ordered my card and it's not here. Please help?,card_arrival,banking,train
15,Will I be able to track the card that was sent to me?,card_arrival,banking,train
16,I don't have my card in 1 week.  Should I be worried?,card_arrival,banking,train
17,How do I know when my new card is going to arrive?,card_arrival,banking,train
18,My new card has not been delivered to my home yet. What is going on?,card_arrival,banking,train
19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,banking,train
20,"On the card that is coming, what's the tracking info?",card_arrival,banking,train
21,What is the status of my card's delivery?,card_arrival,banking,train
22,Have you sent out my card yet?,card_arrival,banking,train
23,My card isn't here yet.,card_arrival,banking,train
24,where is my new card?,card_arrival,banking,train
25,It's been a week since you sent my card and I still don't have it.,card_arrival,banking,train
26,How do I track the card you sent me?,card_arrival,banking,train
27,When will I recieve my new card?,card_arrival,banking,train
28,When will I get my new card?,card_arrival,banking,train
29,What is the expected delivery date for my card?,card_arrival,banking,train
30,Is there a tracking number for the card you sent me?,card_arrival,banking,train
31,I would like to track the card you sent to me.,card_arrival,banking,train
32,Has my card been lost in delivery?,card_arrival,banking,train
33,My new card hasn't came in.,card_arrival,banking,train
34,Where is the card I ordered 2 weeks ago?,card_arrival,banking,train
35,Can I get an update on my replacement card?,card_arrival,banking,train
37,What's the tracking on the card you sent?,card_arrival,banking,train
38,I haven't received my card and am worried it is lost.,card_arrival,banking,train
40,I need to find out where the card is that I ordered.,card_arrival,banking,train
41,Where is my credit card that was to be mailed?,card_arrival,banking,train
42,I ordered my card but it hasn't been delivered yet,card_arrival,banking,train
43,Am I able to track the card that was just sent to me?,card_arrival,banking,train
44,Can you tell me why I haven't received my new card?,card_arrival,banking,train
45,I'm still waiting for my new card.,card_arrival,banking,train
46,Is my card lost? I am still waiting for it to be delivered.,card_arrival,banking,train
49,How can I check on the status of my new card?,card_arrival,banking,train
50,"A card has been sent to me, how do I track it?",card_arrival,banking,train
51,Is there a way I can get my card expedited?,card_arrival,banking,train
52,What can I do to track the card you sent me?,card_arrival,banking,train
53,why hasnt my card come in yet?,card_arrival,banking,train
54,How can I periodically check the delivery of the card you sent?,card_arrival,banking,train
55,What's the reason my new card hasn't come?,card_arrival,banking,train
57,I don't have my card after 1 week. What are my next steps?,card_arrival,banking,train
58,I know I'm getting a new card but would like know when I can expect to receive it.,card_arrival,banking,train
60,Was there a way for me to get tracking for that?,card_arrival,banking,train
62,My card hasn't arrived.,card_arrival,banking,train
63,Can I track the card you sent to me?,card_arrival,banking,train
64,I haven't gotten my new card.,card_arrival,banking,train
65,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival,banking,train
66,Will I have to wait much longer for my new card to arrive?,card_arrival,banking,train
67,how to track the card you sent,card_arrival,banking,train
68,2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival,banking,train
69,How can I check on the delivery status of my card?,card_arrival,banking,train
70,"My card has not been delivered yet and its been a week since I ordered it, please help",card_arrival,banking,train
71,What's the expected wait time to recieve my new card?,card_arrival,banking,train
72,How can I see the progress of delivery of the card that was sent?,card_arrival,banking,train
73,"My card was supposed to arrive, but hasn't?",card_arrival,banking,train
75,How long will it take for me to get my card?,card_arrival,banking,train
76,My card hasn't shown up yet.,card_arrival,banking,train
77,Does the card you sent have a tracking number?,card_arrival,banking,train
78,My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,card_arrival,banking,train
79,maximum how many days get the courier?,card_arrival,banking,train
80,Is there a reason my new card hasn't arrived yet?,card_arrival,banking,train
81,"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival,banking,train
82,How can I track my card's delivery?,card_arrival,banking,train
83,Can I track the card that was just sent to me?,card_arrival,banking,train
84,"If I ordered my new card last week, how much longer should I wait to receive it?",card_arrival,banking,train
85,"What's go on, where is my new card?",card_arrival,banking,train
86,Where is my new card if I haven't received it yet?,card_arrival,banking,train
87,Where is my card?,card_arrival,banking,train
88,Can you tell me why I haven't received my new card yet?,card_arrival,banking,train
89,Is there a way to track my card?,card_arrival,banking,train
90,Is there a way to track the new card you sent me?,card_arrival,banking,train
91,I'm still waiting for my card.,card_arrival,banking,train
92,What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival,banking,train
93,WHAT IS THE SOLUTION OF THIS PROBLEM,card_arrival,banking,train
94,Could I get tracking on the card?,card_arrival,banking,train
95,Can you help me track my card?,card_arrival,banking,train
96,Shouldn't my new card be here by now?,card_arrival,banking,train
97,Is there a reason my new card hasn't arrived?,card_arrival,banking,train
98,"I would like to track a card sent to me, how do I do that?",card_arrival,banking,train
99,Is there a tracking number for the card?,card_arrival,banking,train
100,can you share card tracking number?,card_arrival,banking,train
101,"I have not received my card and it's been a week, what do I do?",card_arrival,banking,train
102,Is there a way I can check on the card on route to me?,card_arrival,banking,train
103,When will my new card arrive?,card_arrival,banking,train
104,Why haven't I received my new card yet?,card_arrival,banking,train
106,My card hasn't came in the mail yet?,card_arrival,banking,train
107,I haven't received my card.,card_arrival,banking,train
108,Is it possible for me to track the card is was mailed to me?,card_arrival,banking,train
109,When will my new card be delivered?,card_arrival,banking,train
110,I was issued a card about a week ago. why hasn't it come in yet?,card_arrival,banking,train
111,Can you please tell me where my card is? I ordered it 2 weeks ago!,card_arrival,banking,train
112,I still haven't received my card in the mail,card_arrival,banking,train
113,I'm still waiting for my card that was issued a week ago. What should I do?,card_arrival,banking,train
114,I still haven't gotten my new card.  When will it get here?,card_arrival,banking,train
115,Do you have a tracking number for the card I was sent?,card_arrival,banking,train
116,How do I track the card you sent to me?,card_arrival,banking,train
117,Is my new bank card on the way and is there a way to track it?,card_arrival,banking,train
118,Could you send me and up date on the arrival of my card?,card_arrival,banking,train
119,How long does it take to recieve my new card?,card_arrival,banking,train
120,My card has not come in the mail yet.,card_arrival,banking,train
121,What's the card you sent me's tracking number?,card_arrival,banking,train
