,text,intent,domain,dataset
0,what alarms do i have set right now,alarm_query,alarm,train
1,checkout today alarm of meeting,alarm_query,alarm,train
2,report alarm settings,alarm_query,alarm,train
3,see see for me the alarms that you have set tomorrow morning,alarm_query,alarm,train
4,is there an alarm for ten am,alarm_query,alarm,train
5,confirm the alarm time,alarm_query,alarm,train
6,show my alarms,alarm_query,alarm,train
7,at what time have you set alarm for me,alarm_query,alarm,train
8,please list active alarms,alarm_query,alarm,train
9,please tell me about upcoming alarms,alarm_query,alarm,train
10,what alarms have i set for tomorrow,alarm_query,alarm,train
11,have i set any alarm for today,alarm_query,alarm,train
12,what alarms do you have set,alarm_query,alarm,train
13,show me all scheduled alarms,alarm_query,alarm,train
14,could you tell me about the alerts i have set,alarm_query,alarm,train
15,show me my alarms i have set,alarm_query,alarm,train
16,do i have any alarms for tomorrow morning,alarm_query,alarm,train
17,what alarm do i have set for today,alarm_query,alarm,train
18,what alarms have been set for me,alarm_query,alarm,train
19,list all set alarms,alarm_query,alarm,train
20,please tell me my alarms,alarm_query,alarm,train
21,what is the wake up time for my alarm i have set for the flight this weekend,alarm_query,alarm,train
22,did i set an alarm to wake up in the morning,alarm_query,alarm,train
23,what times do my alarms go off,alarm_query,alarm,train
24,what time is my wakeup alarm set for,alarm_query,alarm,train
25,please read out all the alarms that are set,alarm_query,alarm,train
26,what time are my alarms set for,alarm_query,alarm,train
27,how many alarms do i have set,alarm_query,alarm,train
28,are there any alarms currently set,alarm_query,alarm,train
29,confirm alarm for tomorrow morning,alarm_query,alarm,train
30,do i have an alarm set for morning flight,alarm_query,alarm,train
31,what's my next scheduled alarm,alarm_query,alarm,train
32,do i have any alarms set for tomorrow,alarm_query,alarm,train
33,please check alarms,alarm_query,alarm,train
34,what alarms do i have set,alarm_query,alarm,train
35,do i have an alarm set,alarm_query,alarm,train
36,show me the list of alarms,alarm_query,alarm,train
37,just to confirm you set the alarm to go off at eight hundred,alarm_query,alarm,train
38,did i set my house alarm,alarm_query,alarm,train
39,what are the next three alarms set to go off,alarm_query,alarm,train
40,check if alarm is set for six am,alarm_query,alarm,train
41,is the alarm to the backdoor set and ready to go,alarm_query,alarm,train
42,what time do i have my alarm set for tomorrow,alarm_query,alarm,train
43,what's the description for the alarm at eleven am,alarm_query,alarm,train
44,are there any alarms set,alarm_query,alarm,train
45,are there any alarms set right now,alarm_query,alarm,train
46,are there any alarms,alarm_query,alarm,train
47,do i have alarms set for today,alarm_query,alarm,train
48,how many alarms are listed,alarm_query,alarm,train
49,remind me about my alarms today,alarm_query,alarm,train
50,list alarms,alarm_query,alarm,train
51,how many alarms do i have,alarm_query,alarm,train
52,just see for me the alarms that you have set today morning,alarm_query,alarm,train
53,what alarms are on right now,alarm_query,alarm,train
54,please tell about the alarms,alarm_query,alarm,train
55,review set alarms,alarm_query,alarm,train
56,is my work alarm set for tomorrow,alarm_query,alarm,train
57,what alarms are set,alarm_query,alarm,train
58,what time are my alarms,alarm_query,alarm,train
59,which alarms are set in the phone,alarm_query,alarm,train
60,is my alarm set for tomorrow morning,alarm_query,alarm,train
61,check if any alarm is there after five am,alarm_query,alarm,train
62,what alarms do i have set for thursday,alarm_query,alarm,train
63,checkout today set alarm of ten am,alarm_query,alarm,train
64,is my school alarm set,alarm_query,alarm,train
65,tell me if my alarm is set for the morning,alarm_query,alarm,train
66,do i have an alarm set for tomorrow,alarm_query,alarm,train
67,what alarms do i have,alarm_query,alarm,train
68,when was the last alarm set,alarm_query,alarm,train
69,today how many alarms do i have set,alarm_query,alarm,train
70,how many alarms do i have set for morning hours between six and nine am,alarm_query,alarm,train
71,what is tomorrow's alarm time set to,alarm_query,alarm,train
72,please let me know the morning alarm time for weekdays,alarm_query,alarm,train
73,read me my alarms,alarm_query,alarm,train
74,is there any alarm after five am,alarm_query,alarm,train
75,what days are my alarms set for,alarm_query,alarm,train
76,confirm i have set an alarm for six am,alarm_query,alarm,train
77,what alarms did i set,alarm_query,alarm,train
78,what alarms do i got,alarm_query,alarm,train
79,show me the alarms that are set,alarm_query,alarm,train
80,tell me about alarms,alarm_query,alarm,train
81,checkout today third set alarm,alarm_query,alarm,train
82,how many alarms are currently set,alarm_query,alarm,train
83,are there any alarms set what are they,alarm_query,alarm,train
84,is my alarm set,alarm_query,alarm,train
85,tell me what alarms are set for me,alarm_query,alarm,train
86,next alarm,alarm_query,alarm,train
87,when is the next alarm,alarm_query,alarm,train
88,show alarms,alarm_query,alarm,train
89,let me know about any alarms set today,alarm_query,alarm,train
90,confirm my alarm settings,alarm_query,alarm,train
91,give me the alarm times for the next two days,alarm_query,alarm,train
92,what alarms are set in the house,alarm_query,alarm,train
93,do i have any alarms,alarm_query,alarm,train
94,have i set any alarms in the morning,alarm_query,alarm,train
95,check if i have set any alarm for morning,alarm_query,alarm,train
96,list all of my upcoming alarms,alarm_query,alarm,train
97,my alarms,alarm_query,alarm,train
98,do i have any alarms set for six am tomorrow,alarm_query,alarm,train
99,how many alarms are currently on my phone,alarm_query,alarm,train
100,any alarms currently listed,alarm_query,alarm,train
101,did i remember to set a reminder alarm for my next doctor's appointment,alarm_query,alarm,train
102,what time is set for my wake up alarm,alarm_query,alarm,train
103,what alarms are set for this week,alarm_query,alarm,train
104,what is on my alarm schedule,alarm_query,alarm,train
105,show me all of my active alarms,alarm_query,alarm,train
