,text,intent,domain,dataset
0,i want to fly from boston at 838 am and arrive in denver at 1110 in the morning,flight,atis,train
1,what flights are available from pittsburgh to baltimore on thursday morning,flight,atis,train
2,what is the arrival time in san francisco for the 755 am flight leaving washington,flight_time,atis,train
3,cheapest airfare from tacoma to orlando,airfare,atis,train
6,what kind of aircraft is used on a flight from cleveland to dallas,aircraft,atis,train
7,show me the flights from pittsburgh to los angeles on thursday,flight,atis,train
8,all flights from boston to washington,flight,atis,train
9,what kind of ground transportation is available in denver,ground_service,atis,train
10,show me the flights from dallas to san francisco,flight,atis,train
11,show me the flights from san diego to newark by way of houston,flight,atis,train
12,what 's the airport at orlando,airport,atis,train
13,what is the cheapest flight from boston to bwi,flight,atis,train
14,all flights to baltimore after 6 pm,flight,atis,train
15,show me the first class fares from boston to denver,airfare,atis,train
16,show me the ground transportation in denver,ground_service,atis,train
17,all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,flight,atis,train
18,i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,flight,atis,train
19,please give me the flights from boston to pittsburgh on thursday of next week,flight,atis,train
20,i would like to fly from denver to pittsburgh on united airlines,flight,atis,train
21,show me the flights from san diego to newark,flight,atis,train
22,please list all first class flights on united from denver to baltimore,flight,atis,train
23,what kinds of planes are used by american airlines,aircraft,atis,train
24,i 'd like to have some information on a ticket from denver to pittsburgh and atlanta,airfare,atis,train
25,i 'd like to book a flight from atlanta to denver,flight,atis,train
26,which airline serves denver pittsburgh and atlanta,airline,atis,train
27,show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm,flight,atis,train
28,atlanta ground transportation,ground_service,atis,train
29,i also need service from dallas to boston arriving by noon,flight,atis,train
30,show me the cheapest round trip fare from baltimore to dallas,airfare,atis,train
31,show me all flights from new york to milwaukee on northwest airlines departing at 720 am,flight,atis,train
32,flights from new york to miami,flight,atis,train
33,please find a flight on delta from philadelphia to san francisco and give me the flight numbers,flight,atis,train
34,i need a flight from dallas to san francisco,flight,atis,train
35,fares and flights from pittsburgh to philadelphia,airfare,atis,train
36,show me the airlines with first class flights,airline,atis,train
37,what are the flights from st. louis to burbank sunday evening,flight,atis,train
38,i 'd like to arrange a flight from pittsburgh to atlanta,flight,atis,train
39,show flights from baltimore to san francisco between 6 pm and 8 pm on friday,flight,atis,train
40,how far is it from orlando airport to orlando,distance,atis,train
41,i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december,flight,atis,train
42,which airline has the most arrivals in atlanta,airline,atis,train
43,what airlines fly from new york to milwaukee to los angeles,airline,atis,train
44,pittsburgh to denver,flight,atis,train
45,which airlines serve atlanta,airline,atis,train
46,show me information on ground transportation for dallas,ground_service,atis,train
47,what is fare code h,abbreviation,atis,train
48,show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon,flight,atis,train
49,i need a flight from charlotte to newark leaving today evening,flight,atis,train
50,what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh,flight_time,atis,train
51,flights from newark to cleveland,flight,atis,train
52,what flights go from boston to pittsburgh after 6 o'clock next tuesday,flight,atis,train
53,how much does the limousine service cost within pittsburgh,ground_fare,atis,train
