,text,intent,domain,dataset
0,what expression would i use to say i love you if i were an italian,translate,travel,train
1,"can you tell me how to say 'i do not speak much spanish', in spanish",translate,travel,train
2,"what is the equivalent of, 'life is good' in french",translate,travel,train
3,"tell me how to say, 'it is a beautiful morning' in italian",translate,travel,train
4,"if i were mongolian, how would i say that i am a tourist",translate,travel,train
5,how do i say 'hotel' in finnish,translate,travel,train
6,"i need you to translate the sentence, 'we will be there soon' into portuguese",translate,travel,train
7,please tell me how to ask for a taxi in french,translate,travel,train
8,"can you tell me how i would say, 'more bread please' in french",translate,travel,train
9,what is the correct way to say 'i am a visitor' in french,translate,travel,train
10,"how would i say, 'i don't know the answer' in spanish",translate,travel,train
11,i would like to know the proper way to greet an adult in portuguese,translate,travel,train
12,what words would i use to tell someone i am lost if i were japanese,translate,travel,train
13,how would i say thank you if i were russian,translate,travel,train
14,can you tell me how i would normally say thank you as a french person,translate,travel,train
15,i would like to know how to say hello in french,translate,travel,train
16,if i were english how would i say subway,translate,travel,train
17,i would i say subway if i were english,translate,travel,train
18,how do you say hi in french,translate,travel,train
19,in england how do they say subway,translate,travel,train
20,translate hello in french,translate,travel,train
21,how is hello said in french,translate,travel,train
22,what do you call a subway if you were english,translate,travel,train
23,how would i say if i were english subway,translate,travel,train
24,how should i say hello in french,translate,travel,train
25,how could i say twin in chinese,translate,travel,train
26,how can i say not now in spanish,translate,travel,train
27,what do spanish people say for the word cow,translate,travel,train
28,translate hello to english,translate,travel,train
29,how do you say goodbye in spanish,translate,travel,train
30,how would i say love in french,translate,travel,train
31,could you translate atm machine into english,translate,travel,train
32,please translate grocery into french for me,translate,travel,train
33,how do germans say goodnight,translate,travel,train
34,tell me how the russians say notebook,translate,travel,train
35,how do vietnameses people say hello,translate,travel,train
36,how do i say thank you in japanese,translate,travel,train
37,what is latin for i love you,translate,travel,train
38,how can i thank somebody in italian,translate,travel,train
39,how do i say you're welcome in chinese,translate,travel,train
40,translate hello english to french,translate,travel,train
41,what is hello in french,translate,travel,train
42,what phrase means goodbye in hawaii,translate,travel,train
43,what spanish word means hello,translate,travel,train
44,translate hello to french,translate,travel,train
45,translate english to french hello,translate,travel,train
46,what is the word for hello spanish,translate,travel,train
47,how do they say goodbye in hawaii,translate,travel,train
48,what's local slang for goodbye in hawaii,translate,travel,train
49,how do you say hello in french,translate,travel,train
50,tell me how to say hello in spanish,translate,travel,train
51,what do i say for goodbye in hawaii,translate,travel,train
52,translate hello into french for me,translate,travel,train
53,how do i say hello in french,translate,travel,train
54,translate for me hello into french,translate,travel,train
55,how would they say say goodbye in hawaii,translate,travel,train
56,what is spanish for hello,translate,travel,train
57,how would i say hello in french,translate,travel,train
58,how can i say i love you in italy,translate,travel,train
59,what is spanish for good morning,translate,travel,train
60,how do you say it's snowing in german,translate,travel,train
61,how would you say can i borrow five dollars in portuguese,translate,travel,train
62,do you know how to say where is the restroom in french,translate,travel,train
63,how would i say pleased to meet you if i were japanese,translate,travel,train
64,can you translate hello into swedish for me,translate,travel,train
65,can you translate i love you into french for me,translate,travel,train
66,can you translate where's the bar into irish for me,translate,travel,train
67,how would i say goodbye if i were norwegian,translate,travel,train
68,how would i say i love you if i were french,translate,travel,train
69,how would i say hello if i were swedish,translate,travel,train
70,can you translate good bye into russian for me,translate,travel,train
71,can you translate i have to go pee into korean for me,translate,travel,train
72,how would i say i'm not guilty if i were mexican,translate,travel,train
73,how do you say thank you in spanish,translate,travel,train
74,how does one say thank you in spanish,translate,travel,train
75,how can i say thank you in spanish,translate,travel,train
76,what is thank you in spanish,translate,travel,train
77,what is the way to say thank you in spanish,translate,travel,train
78,"how do they say ""who is your father"" in german",translate,travel,train
79,"how do they say ""where's the bathroom"" in spanish",translate,travel,train
80,"how do they say ""how's it going"" in swahili",translate,travel,train
81,"how do they say ""i love you"" in japanese",translate,travel,train
82,"how do they say ""what's up"" in chinese",translate,travel,train
83,how do you say thank you in german,translate,travel,train
84,how do you say please in arabic,translate,travel,train
85,how do you say cat in spanish,translate,travel,train
86,how do you say i'm hungry in french,translate,travel,train
87,how do you say i need coffee in dutch,translate,travel,train
88,how do they say yes in brazil,translate,travel,train
89,can you translate cat into russian for me,translate,travel,train
90,can you translate bowl into russian for me,translate,travel,train
91,how do they say hello in france,translate,travel,train
92,i wanna know a phrase in spanish,translate,travel,train
93,can you translate bat into russian for me,translate,travel,train
94,how do they say no in germany,translate,travel,train
95,can you translate hi into spanish for me,translate,travel,train
96,i wanna learn a phrase in russian,translate,travel,train
97,how do they say hello in germany,translate,travel,train
98,can you translate milk into spanish for me,translate,travel,train
99,how do they say hello in brazil,translate,travel,train
100,i need $20000 transferred from my savings to my checking,transfer,banking,train
101,complete a transaction from savings to checking of $20000,transfer,banking,train
102,transfer $20000 from my savings account to checking account,transfer,banking,train
103,take $20000 from savings and put it in checking,transfer,banking,train
104,put $20000 into my checking account from my savings account,transfer,banking,train
105,send 100 dollars between bank of the west and bank of america acccounts,transfer,banking,train
106,send 50 dollars between bank of america and chase accounts,transfer,banking,train
107,send 2000 dollars between chase and rabobank accounts,transfer,banking,train
108,send 1200 dollars between usaa and navy federal accounts,transfer,banking,train
109,send 400 dollars between city bank and usaa accounts,transfer,banking,train
110,take $40 and transfer it to account a from b,transfer,banking,train
111,transfer $40 from account a to b,transfer,banking,train
112,move $40 from account b to account a,transfer,banking,train
113,put $40 from account a to b,transfer,banking,train
114,take $40 from account a and transfer it to account b,transfer,banking,train
115,i need to transfer from this account to that one,transfer,banking,train
116,need to transfer from one account to my other one,transfer,banking,train
117,i would like to transfer from one account to my second one,transfer,banking,train
118,i need to transfer from one account to my second one,transfer,banking,train
119,i have to transfer from one account to my other one,transfer,banking,train
120,send fifty dollars from me to carrie,transfer,banking,train
121,transfer sixty dollars to dad from my biggest accnt,transfer,banking,train
122,send over a hundred dollars from huntington into saving,transfer,banking,train
123,move 57 dollars from saving into mom,transfer,banking,train
124,transfer two hundred dollars between my portfolio and my money market account,transfer,banking,train
125,i need to transfer ten dollars from my bank of america account to my capital one account,transfer,banking,train
126,go ahead and send ten dollars from bank of america to capital one,transfer,banking,train
127,i must transfer ten dollars from my bank of america account to my capital one account,transfer,banking,train
128,i got to transfer ten dollars from my bank of america account to my capital one account,transfer,banking,train
129,i want you to send ten dollars from bank of america to capital one,transfer,banking,train
130,i need you to send ten dollars from bank of america to capital one,transfer,banking,train
131,i have to transfer ten dollars from my bank of america account to my capital one account,transfer,banking,train
132,send ten dollars from bank of america to capital one,transfer,banking,train
133,please send ten dollars from bank of america to capital one,transfer,banking,train
134,make a transfer of $200 from my savings account to my checking account,transfer,banking,train
135,please transfer $250 from checking to savings,transfer,banking,train
136,transfer $500 from my checking to my savings,transfer,banking,train
137,please transfer $100 from my checking to my savings account,transfer,banking,train
138,transfer $500 from my money market savings account to my checking account,transfer,banking,train
139,send money from one account to another,transfer,banking,train
140,transfer 200 dollars from paypal to savings,transfer,banking,train
141,transfer $10 from checking to savings,transfer,banking,train
142,send $100 from paypal to my bank,transfer,banking,train
143,please transfer 100 dollars between my amazon payments and savings accounts,transfer,banking,train
144,i would like to make a transfer,transfer,banking,train
145,i want to transfer funds between accounts,transfer,banking,train
146,send over 50 dollars between my shared and not shared accounts,transfer,banking,train
147,whats the quickest way to money from one account to another,transfer,banking,train
148,what is the process to move money from one account to another,transfer,banking,train
149,i need you to send 500 dollars from my high tier account to my regular checking account,transfer,banking,train
150,can you transfer money from a to b,transfer,banking,train
151,send my money between accounts,transfer,banking,train
152,how can i send money from one account to another,transfer,banking,train
153,i need to move money from one account to another,transfer,banking,train
154,send $20 from debit to steve's account,transfer,banking,train
155,send 20 dollars from savings to checking,transfer,banking,train
156,please transfer my funds,transfer,banking,train
157,please transfer $50 to my checking account from credit,transfer,banking,train
158,go ahead and move $200 from amazon to my bank account,transfer,banking,train
159,help me move my money,transfer,banking,train
160,i need my money to be moved,transfer,banking,train
161,help me move my money please,transfer,banking,train
162,i need to move my money,transfer,banking,train
163,move my money please,transfer,banking,train
164,i would like to transfer $5 from savings to checking,transfer,banking,train
165,transfer $5 from savings to checking,transfer,banking,train
166,can you transfer $5 from savings to checking,transfer,banking,train
167,send $5 from savings to checking,transfer,banking,train
168,please transfer $5 from savings to checking,transfer,banking,train
169,please switch $s checking to mortage,transfer,banking,train
170,please transfer $s from saving to checking,transfer,banking,train
171,could you transfer $x from saving to checking,transfer,banking,train
172,help me transfer $x from credit to debit,transfer,banking,train
173,please transfer $x from checking to saving,transfer,banking,train
174,transfer money to another account,transfer,banking,train
175,requesting money transfer between accounts,transfer,banking,train
176,transfer money from this account to that account,transfer,banking,train
177,can you transfer money from my account,transfer,banking,train
178,money transfer request,transfer,banking,train
179,send 100 dollars from checking to savings,transfer,banking,train
180,transfer 100 dollars checking to savings,transfer,banking,train
181,transfer 100 dollars between checking and savings,transfer,banking,train
182,take 100 dollars from checking and send it to savings,transfer,banking,train
183,move 100 dollars from checking to savings,transfer,banking,train
184,can we wire some money over to the other account i have,transfer,banking,train
